Date,IPO_Name,Profile,Issue_Size,QIB,HNI,RII,Total,Bid_Price,Listing_Open,Listing_Close,Listing_Gains,CMP,Current_Gains
01-04-13,Repco Home,/ipo/repco-home_RHF01.html,270.38,3.39,0.35,0.51,1.65,172.0,159.95,160.85,-6.48,292.95,70.32
28-12-12,INDUS TOWERS,/ipo/indus-towers_BI26.html,4533.6,2.84,0.1,0.06,1.21,220.0,200.0,191.2,-13.09,284.4,29.27
27-12-12,PC Jeweller,/ipo/pc-jeweller_PJ.html,609.3,7.33,18.12,1.68,6.85,135.0,137.0,74.5,-44.81,23.1,-82.89
26-12-12,CARE Ratings,/ipo/care-ratings_CAR.html,539.98,45.8,110.96,6.18,40.98,750.0,940.0,923.95,23.19,648.15,-13.58
06-12-12,Tara Jewels,/ipo/tara-jewels_TJ01.html,0.0,1.49,3.1,2.05,1.98,230.0,242.0,229.95,-0.02,0.76,-99.67
18-07-12,VKS Projects,/ipo/vks-projects_VP08.html,55.0,1.15,0.38,1.13,1.03,55.0,55.8,1.57,-97.15,0.04,-99.93
30-05-12,Speciality Rest,/ipo/speciality-rest_SR04.html,181.96,4.68,2.19,0.55,2.54,150.0,153.0,160.65,7.1,99.1,-33.93
09-05-12,Tribhovandas,/ipo/tribhovandas_TBZ.html,210.0,1.29,1.91,0.68,1.15,120.0,115.0,111.2,-7.33,82.9,-30.92
12-04-12,MT Educare,/ipo/mt-educare_ME16.html,99.0,6.01,8.0,2.17,4.8,80.0,86.05,90.35,12.94,7.97,-90.04
12-04-12,NBCC (India),/ipo/nbcc-(india)_NBC.html,127.2,7.07,1.7,3.4,4.93,106.0,100.0,6.47,-93.9,43.75,-58.73
28-03-12,Olympic Cards,/ipo/olympic-cards_OC11.html,25.0,0.0,3.43,1.36,0.99,30.0,29.95,28.5,-5.0,3.22,-89.27
09-03-12,MCX India,/ipo/mcx-india_MCE.html,663.31,49.12,150.35,24.14,54.13,1032.0,1387.0,1297.05,25.68,1811.75,75.56
02-11-11,Indo Thai Secu,/ipo/indo-thai-secu_ITS.html,33.6,0.0,0.02,3.31,1.16,74.0,76.0,23.0,-68.92,132.55,79.12
24-10-11,Vaswani Ind,/ipo/vaswani-ind_VI17.html,49.0,0.16,11.29,6.82,4.16,49.0,33.45,17.75,-63.78,14.4,-70.61
20-10-11,Ujaas Energy,/ipo/ujaas-energy_S16.html,93.0,1.03,1.56,2.35,1.57,186.0,180.0,31.76,-82.92,2.93,-98.42
19-10-11,Taksheel Solut,/ipo/taksheel-solut_TS13.html,82.5,0.24,4.7,6.18,2.99,150.0,157.4,58.15,-61.23,3.85,-97.43
19-10-11,Flexituff Ventu,/ipo/flexituff-ventu_FI19.html,104.63,0.51,1.55,1.55,1.03,155.0,155.0,166.4,7.35,16.25,-89.52
17-10-11,Onelife Capital,/ipo/onelife-capital_OCA.html,36.85,1.02,0.93,2.32,1.51,110.0,115.0,145.9,32.64,19.25,-82.5
04-10-11,Setubandhan Inf,/ipo/setubandhan-inf_PC20.html,60.0,0.31,2.76,4.68,2.21,138.0,145.0,22.95,-83.37,1.24,-99.1
26-09-11,PG Electroplast,/ipo/pg-electroplast_PE06.html,120.65,0.98,1.84,1.64,1.34,210.0,200.0,411.65,96.02,511.2,143.43
16-09-11,SRS,/ipo/srs_S15.html,227.5,0.74,5.0,0.29,1.22,58.0,55.0,16.83,-70.98,0.19,-99.67
08-09-11,TD Power System,/ipo/td-power-system_TPS.html,227.0,6.52,0.32,0.36,2.72,256.0,251.6,274.8,7.34,402.3,57.15
05-09-11,Brooks Labs,/ipo/brooks-labs_BL04.html,63.0,0.0,2.82,3.36,1.6,100.0,110.0,50.2,-49.8,108.2,8.2
26-08-11,Tree House,/ipo/tree-house_THE01.html,112.06,1.02,1.68,2.76,1.85,135.0,132.8,116.55,-13.67,8.4,-93.78
12-08-11,L&T Finance,/ipo/landt-finance_LFH.html,1245.0,1.93,6.18,9.61,5.34,52.0,53.85,46.46,-10.65,81.55,56.83
04-08-11,Inventure Grow,/ipo/inventure-grow_IGS.html,81.9,0.25,9.49,8.66,4.58,117.0,119.0,5.2,-95.56,2.53,-97.84
28-07-11,Bharatiya Glob,/ipo/bharatiya-glob_BGI01.html,55.1,0.0,1.94,5.06,2.06,82.0,84.0,30.95,-62.26,3.1,-96.22
13-07-11,Kridhan Infra,/ipo/kridhan-infra_RSI02.html,34.75,0.03,1.37,4.18,1.68,108.0,115.0,13.29,-87.69,4.71,-95.64
07-07-11,Rushil Decor,/ipo/rushil-decor_RD02.html,40.64,0.23,1.35,6.57,2.62,72.0,81.25,104.49,45.12,315.65,338.4
07-07-11,Birla Pacific,/ipo/birla-pacific_BPM.html,65.18,1.04,0.17,1.82,1.18,10.0,10.1,25.35,153.5,0.28,-97.2
22-06-11,Timbor Home,/ipo/timbor-home_TH02.html,23.25,0.65,3.22,14.22,5.78,63.0,72.0,91.2,44.76,2.21,-96.49
14-06-11,VMS Industries,/ipo/vms-industries_VI18.html,25.75,0.0,1.11,3.41,1.36,40.0,43.95,28.5,-28.75,12.09,-69.78
27-05-11,Dr Datson Labs,/ipo/dr-datson-labs_AL15.html,120.0,0.14,2.65,1.84,1.11,234.0,218.0,311.25,33.01,6.29,-97.31
23-05-11,Sanghvi Forging,/ipo/sanghvi-forging_SFE02.html,36.9,0.0,1.82,2.93,1.3,85.0,88.0,111.75,31.47,16.5,-80.59
13-05-11,Innoventive Ind,/ipo/innoventive-ind_II18.html,219.58,0.85,1.94,1.48,1.24,117.0,110.0,93.6,-20.0,4.2,-96.41
12-05-11,Servalakshmi,/ipo/servalakshmi_SP39.html,60.0,0.34,4.21,1.9,1.47,29.0,30.0,19.0,-34.48,1.33,-95.41
10-05-11,Future Consumer,/ipo/future-consumer_FVI.html,750.0,0.26,7.81,0.61,1.52,10.0,9.5,8.3,-17.0,6.85,-31.5
09-05-11,Paramount Print,/ipo/paramount-print_PP31.html,45.83,0.33,3.28,9.31,3.92,35.0,35.0,26.65,-23.86,0.82,-97.66
06-05-11,Muthoot Finance,/ipo/muthoot-finance_MF19.html,901.25,25.01,60.94,8.5,24.55,175.0,176.45,176.25,0.71,1609.9,819.94
08-04-11,Shilpi Cable,/ipo/shilpi-cable_SCT02.html,55.88,1.04,6.39,5.74,3.48,69.0,78.35,23.8,-65.51,1.1,-98.41
30-03-11,PTC India Fin,/ipo/ptc-india-fin_PIF02.html,438.76,2.85,0.22,1.18,1.7,28.0,28.0,24.9,-11.07,19.3,-31.07
24-03-11,Lovable Lingeri,/ipo/lovable-lingeri_LL05.html,93.28,21.87,99.87,20.84,35.21,205.0,261.5,249.2,21.56,144.3,-29.61
11-03-11,Fineotex Chem,/ipo/fineotex-chem_FC06.html,30.32,0.0,0.22,4.38,1.57,70.0,80.0,14.09,-79.87,120.2,71.71
11-03-11,Sudar Ind,/ipo/sudar-ind_SG11.html,69.98,0.17,4.47,2.27,1.55,77.0,74.0,113.1,46.88,1.02,-98.68
10-03-11,Acropetal Tech,/ipo/acropetal-tech_AT17.html,170.0,1.12,2.0,1.21,1.28,90.0,130.0,98.45,9.39,1.67,-98.14
10-02-11,Omkar Special,/ipo/omkar-special_OSC01.html,79.38,0.82,5.27,9.9,4.67,98.0,95.0,46.2,-52.86,32.35,-66.99
20-01-11,C Mahendra Expo,/ipo/c-mahendra-expo_ME14.html,165.0,1.02,3.92,4.82,2.78,110.0,111.0,55.43,-49.61,1.79,-98.37
30-12-10,Punjab & Sind,/ipo/punjab-and-sind_PSB.html,480.0,49.8,22.91,8.38,47.2,120.0,146.1,127.05,5.87,16.95,-85.88
23-12-10,A2Z Infra Eng,/ipo/a2z-infra-eng_AME02.html,675.0,0.7,4.25,0.33,0.96,400.0,390.0,328.9,-17.78,5.43,-98.64
20-12-10,Claris Life,/ipo/claris-life_CL02.html,300.0,1.31,2.03,1.6,1.5,228.0,224.4,205.85,-9.71,396.55,73.93
15-12-10,MOIL,/ipo/moil_M11.html,1260.0,0.0,0.0,0.0,0.0,375.0,551.0,233.25,-37.8,172.55,-53.99
06-12-10,RPP Infra Proj,/ipo/rpp-infra-proj_RIP01.html,48.75,0.16,7.27,5.6,2.97,75.0,75.0,52.0,-30.67,54.55,-27.27
